地名ID	地名	说明	隶属郡	地名类型	地名渊源	渊源类型	首现文献	设置时间	取消时间	辖县	隶属刺史
1085	賁古										
1086	來唯										
1087	律高										
1088	雙柏										
1089	秦臧										
1090	弄棟										
1091	雲南										
1092	葉榆										
1093	比蘇										
1094	不韋										
1095	蘭且										
1096	平夷										
1097	毋斂										
1098	夜郎										
1099	談稿										
1100	談指										
1101	漏臥										
1102	漏江										
1103	同並										
1104	句町										
1105	宛溫										
1106	都夢										
1107	進桑										
1108	高平										
1109	烏氏										
1110	涇陽										
1111	安武										
1112	彭陽										
1113	臨涇										
1114	安定										
1115	陰盤										
1116	陰密										
1117	三水										
1118	祖厲										
1119	平壤										
1120	陽阿										
1121	成紀										
1122	略陽道										
1123	街泉										
1124	隴縣										
1125	清水										
1126	戎邑道										
1127	綿諸道										
1128	望垣										
1129	冀縣										
1130	勇士										
1131	狄道										
1132	大夏										
1133	首陽										
1134	襄武										
1135	西縣										
1136	上邽										
1137	臨洮										
1138	安故										
1139	允吾										
1140	金城										
1141	枝陽										
1142	榆中										
1143	枹罕										
1144	白石										
1145	允街										
1146	令居										
1147	破羌										
1148	安夷										
1149	臨羌										
1150	姑臧										
1151	休屠										
1152	武威										
1153	宣城										
1154	鸞鳥										
1155	蒼松										
1156	張掖										
1157	媼圍										
1158	觻得										
1159	昭武										
1160	屋蘭										
1161	刪丹										
1162	日勒										
1163	氐池										
1164	番和										
1165	居延										
1166	祿福										
1167	樂涫										
1168	表是										
1169	會水										
1170	玉門										
1171	池頭										
1172	敦煌										
1173	龍勒										
1174	效穀										
1175	廣至										
1176	冥安										
1177	淵泉										
1178	宛縣										
1179	西鄂										
1180	博望										
1181	雉縣										
1182	魯陽										
1183	犨縣										
1184	葉縣										
1185	堵陽										
1186	舞陰										
1187	比陽										
1188	平氏										
1189	複陽										
1190	隋縣										
1191	章陵										
1192	襄鄉										
1193	蔡陽										
1194	鄧縣										
1195	湖陽										
1196	朝陽										
1197	新野										
1198	棘陽										
1199	涅陽										
1200	穰縣										
1201	安眾										
1202	酈國										
1203	析縣										
1204	丹水										
1205	順陽										
1206	南鄉										
1207	冠軍										
1208	酂縣										
1209	陰縣										
1210	築陽										
1211	山都										
1212	武當										
1213	西陵										
1214	邾縣										
1215	鄂縣										
1216	沙羨										
1217	下雉										
1218	蘄春										
1219	西陽										
1220	黽縣										
1221	平春										
1222	安陸										
1223	南新市										
1224	雲社										
1225	竟陵										
1226	江陵										
1227	華容										
1228	州陵										
1229	枝江										
1230	夷道										
1231	夷陵										
1232	當陽										
1233	宜城										
1234	中盧										
1235	襄陽										
1236	編縣										
1237	臨沮										
1238	秭歸										
1239	巫縣										
1240	臨沅										
1241	沅南										
1242	漢壽										
1243	零陽										
1244	孱陵										
1245	充縣										
1246	酉陽										
1247	遷陵										
1248	沅陵										
1249	辰陽										
